#Position, DFT_FES_PMF, DPMD_FES_PMF
1.889779559118236474e+00 1.703225979305307192e+01 1.548594640177643100e+01
1.894989979959919690e+00 1.740894208975160495e+01 1.581519758726744662e+01
1.900200400801603129e+00 1.778562438645015220e+01 1.614542871873756624e+01
1.905410821643286567e+00 1.813192664741365689e+01 1.647713604232774287e+01
1.910621242484969784e+00 1.847571913786188702e+01 1.680929864012315633e+01
1.915831663326653223e+00 1.881951162831013136e+01 1.714406151245843191e+01
1.921042084168336661e+00 1.916330411875837925e+01 1.747957398941223417e+01
1.926252505010019878e+00 1.950709660920660937e+01 1.781789577396448010e+01
1.931462925851703316e+00 1.985088909965485371e+01 1.815804598301058448e+01
1.936673346693386755e+00 2.019468159010310160e+01 1.850074348430024429e+01
1.941883767535069971e+00 2.053847408055133172e+01 1.884677200065366165e+01
1.947094188376753410e+00 2.088226657099957606e+01 1.919470930092003869e+01
1.952304609218436848e+00 2.122605906144782395e+01 1.954785669979581897e+01
1.957515030060120065e+00 2.156985155189605408e+01 1.990239559295360294e+01
1.962725450901803503e+00 2.191364404234429841e+01 2.026340473789137775e+01
1.967935871743486942e+00 2.225743653279254630e+01 2.062667958176225369e+01
1.973146292585170158e+00 2.256683326255589961e+01 2.099552077239468773e+01
1.978356713426853597e+00 2.284656940040388662e+01 2.136877214219367005e+01
1.983567134268537036e+00 2.312630553825187718e+01 2.174630946076011995e+01
1.988777555110220252e+00 2.340604167609985353e+01 2.213077793170220886e+01
1.993987975951903691e+00 2.368577781394784409e+01 2.251787546044197796e+01
1.999198396793587129e+00 2.396551395179583466e+01 2.291475103932866375e+01
2.004408817635270346e+00 2.424525008964381101e+01 2.331364851281438533e+01
2.009619238476953562e+00 2.452498622749178736e+01 2.372001003279613940e+01
2.014829659318637223e+00 2.480472236533978858e+01 2.412800741918174552e+01
2.020040080160320439e+00 2.508445850318776849e+01 2.453869009570188453e+01
2.025250501002004100e+00 2.536419464103576615e+01 2.494909203307516421e+01
2.030460921843687316e+00 2.564393077888374606e+01 2.535930400922924832e+01
2.035671342685370533e+00 2.592366691673172241e+01 2.576523076017736358e+01
2.040881763527053749e+00 2.618925046181559679e+01 2.616985700146248206e+01
2.046092184368737410e+00 2.637478067187910469e+01 2.656475200617119015e+01
2.051302605210420626e+00 2.656031088194259837e+01 2.695593544311002177e+01
2.056513026052104287e+00 2.674584109200610627e+01 2.733598417673936254e+01
2.061723446893787504e+00 2.693137130206959995e+01 2.770684507191910839e+01
2.066933867735470720e+00 2.711690151213309363e+01 2.806725567756462425e+01
2.072144288577153937e+00 2.730243172219658732e+01 2.841091429357248899e+01
2.077354709418837597e+00 2.748796193226009521e+01 2.874689491432979338e+01
2.082565130260520814e+00 2.767349214232358889e+01 2.905647151375298165e+01
2.087775551102204474e+00 2.785902235238709679e+01 2.935910005787582122e+01
2.092985971943887691e+00 2.804455256245059047e+01 2.963184513814331567e+01
2.098196392785570907e+00 2.823008277251408416e+01 2.989148518710070945e+01
2.103406813627254124e+00 2.841561298257757784e+01 3.012560491192789058e+01
2.108617234468937784e+00 2.860114319264108573e+01 3.033704982948595941e+01
2.113827655310621001e+00 2.869353994936669849e+01 3.053047118229162038e+01
2.119038076152304662e+00 2.875708787155066304e+01 3.069219908612987879e+01
2.124248496993987878e+00 2.882063579373462758e+01 3.084472566607435695e+01
2.129458917835671095e+00 2.888418371591858858e+01 3.095649826063742083e+01
2.134669338677354755e+00 2.894773163810255667e+01 3.105929631968730575e+01
2.139879759519037972e+00 2.901127956028651766e+01 3.112957613393041356e+01
2.145090180360721188e+00 2.907482748247048221e+01 3.118213366552772570e+01
2.150300601202404849e+00 2.913837540465445031e+01 3.121106148693064597e+01
2.155511022044088065e+00 2.920192332683841130e+01 3.121315967865686858e+01
2.160721442885771282e+00 2.926547124902237584e+01 3.120058310055992479e+01
2.165931863727454942e+00 2.932901917120634039e+01 3.115200313999652337e+01
2.171142284569138159e+00 2.939256709339030493e+01 3.109433542754417701e+01
2.176352705410821375e+00 2.945611501557426593e+01 3.099829283046850037e+01
2.181563126252505036e+00 2.946844759193248109e+01 3.088966174754914817e+01
2.186773547094188253e+00 2.939606258317833465e+01 3.075165753099459209e+01
2.191983967935871469e+00 2.932367757442418821e+01 3.059184426518971733e+01
2.197194388777555130e+00 2.925129256567003466e+01 3.041172602249660528e+01
2.202404809619238346e+00 2.917890755691588822e+01 3.020089351162581792e+01
2.207615230460921563e+00 2.910652254816174178e+01 2.997902771995333282e+01
2.212825651302605223e+00 2.903413753940758824e+01 2.972086195421884725e+01
2.218036072144288440e+00 2.896175253065344180e+01 2.945525723528549733e+01
2.223246492985971656e+00 2.888936752189929535e+01 2.916224007915015548e+01
2.228456913827655317e+00 2.881698251314514181e+01 2.885828498923314100e+01
2.233667334669338533e+00 2.874459750439099537e+01 2.853717038852108701e+01
2.238877755511022194e+00 2.867221249563684182e+01 2.820202416192544703e+01
2.244088176352705410e+00 2.859982748688269538e+01 2.785779864799341610e+01
