#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 119000      8.21e-01    6.23e-01      9.28e-03    8.36e-03      4.68e-02    3.55e-02    3.1e-04
 120000      7.20e-01    4.59e-01      2.96e-03    2.73e-03      4.21e-02    2.68e-02    2.9e-04
 121000      7.81e-01    6.33e-01      6.89e-03    9.30e-03      4.56e-02    3.69e-02    2.9e-04
 122000      5.19e-01    5.37e-01      1.30e-02    1.33e-02      3.03e-02    3.13e-02    2.9e-04
 123000      6.42e-01    4.77e-01      5.68e-03    5.86e-03      3.75e-02    2.78e-02    2.9e-04
 124000      7.66e-01    4.51e-01      4.54e-03    4.39e-03      4.48e-02    2.64e-02    2.9e-04
 125000      6.73e-01    1.08e+00      4.26e-03    5.49e-03      4.03e-02    6.49e-02    2.8e-04
 126000      9.42e-01    9.32e-01      8.14e-03    1.26e-02      5.64e-02    5.59e-02    2.8e-04
 127000      4.03e-01    4.99e-01      1.21e-03    1.09e-03      2.42e-02    2.99e-02    2.8e-04
 128000      6.85e-01    8.55e-01      1.46e-02    1.49e-02      4.10e-02    5.12e-02    2.8e-04
 129000      7.87e-01    8.55e-01      1.13e-02    9.62e-03      4.72e-02    5.12e-02    2.8e-04
 130000      4.95e-01    5.64e-01      5.49e-03    6.52e-03      3.04e-02    3.47e-02    2.6e-04
 131000      7.43e-01    7.39e-01      2.38e-03    3.10e-03      4.57e-02    4.55e-02    2.6e-04
 132000      9.23e-01    5.49e-01      3.14e-03    4.67e-03      5.68e-02    3.37e-02    2.6e-04
 133000      7.43e-01    7.50e-01      1.09e-02    1.01e-02      4.57e-02    4.61e-02    2.6e-04
 134000      6.50e-01    5.34e-01      4.48e-03    3.65e-03      4.00e-02    3.28e-02    2.6e-04
 135000      4.76e-01    3.89e-01      6.37e-03    6.64e-03      3.00e-02    2.45e-02    2.5e-04
 136000      5.71e-01    6.68e-01      7.32e-03    6.81e-03      3.60e-02    4.21e-02    2.5e-04
 137000      4.49e-01    4.13e-01      4.83e-03    6.62e-03      2.83e-02    2.60e-02    2.5e-04
 138000      3.51e-01    4.33e-01      2.32e-03    1.74e-03      2.22e-02    2.73e-02    2.5e-04
 139000      7.45e-01    3.88e-01      3.76e-03    2.60e-03      4.70e-02    2.45e-02    2.5e-04
 140000      3.32e-01    4.50e-01      3.62e-03    3.86e-03      2.15e-02    2.91e-02    2.4e-04
 141000      6.99e-01    7.71e-01      6.99e-03    8.62e-03      4.52e-02    4.99e-02    2.4e-04
 142000      5.64e-01    3.40e-01      1.40e-02    2.61e-03      3.64e-02    2.20e-02    2.4e-04
 143000      5.48e-01    7.17e-01      8.80e-03    7.46e-03      3.55e-02    4.64e-02    2.4e-04
 144000      5.60e-01    3.96e-01      2.46e-03    1.12e-03      3.62e-02    2.57e-02    2.4e-04
 145000      6.33e-01    5.17e-01      6.14e-03    6.48e-03      4.20e-02    3.43e-02    2.3e-04
 146000      6.39e-01    5.78e-01      1.17e-02    2.42e-03      4.24e-02    3.84e-02    2.3e-04
 147000      5.72e-01    3.79e-01      7.73e-03    8.05e-03      3.80e-02    2.51e-02    2.3e-04
 148000      5.52e-01    3.78e-01      1.00e-03    8.86e-04      3.67e-02    2.51e-02    2.3e-04
 149000      5.80e-01    6.65e-01      5.41e-03    3.39e-03      3.85e-02    4.42e-02    2.3e-04
 150000      6.58e-01    4.62e-01      4.20e-03    1.11e-02      4.48e-02    3.14e-02    2.1e-04
 151000      6.01e-01    4.88e-01      6.54e-03    1.84e-03      4.09e-02    3.32e-02    2.1e-04
 152000      5.92e-01    3.94e-01      4.26e-03    5.39e-03      4.03e-02    2.68e-02    2.1e-04
 153000      7.23e-01    6.55e-01      4.98e-03    3.33e-03      4.92e-02    4.46e-02    2.1e-04
 154000      5.74e-01    3.61e-01      3.46e-03    3.33e-03      3.91e-02    2.46e-02    2.1e-04
 155000      6.72e-01    4.13e-01      2.70e-03    9.25e-04      4.70e-02    2.89e-02    2.0e-04
 156000      4.80e-01    4.75e-01      7.51e-03    9.37e-03      3.35e-02    3.31e-02    2.0e-04
 157000      6.63e-01    4.09e-01      7.47e-03    4.39e-03      4.63e-02    2.86e-02    2.0e-04
 158000      5.95e-01    5.91e-01      2.85e-03    3.52e-03      4.16e-02    4.13e-02    2.0e-04
 159000      4.15e-01    6.64e-01      6.74e-03    3.64e-03      2.90e-02    4.64e-02    2.0e-04
 160000      4.85e-01    5.29e-01      4.82e-04    1.61e-03      3.48e-02    3.79e-02    1.9e-04
 161000      5.57e-01    5.23e-01      7.41e-03    7.98e-03      3.99e-02    3.74e-02    1.9e-04
 162000      6.35e-01    2.88e-01      1.85e-02    5.72e-03      4.54e-02    2.06e-02    1.9e-04
 163000      4.02e-01    4.88e-01      1.57e-03    7.59e-03      2.88e-02    3.50e-02    1.9e-04
 164000      8.40e-01    4.26e-01      1.75e-03    1.19e-03      6.02e-02    3.06e-02    1.9e-04
 165000      5.37e-01    3.97e-01      1.08e-02    2.63e-03      3.94e-02    2.92e-02    1.8e-04
 166000      4.10e-01    3.43e-01      4.91e-03    6.73e-03      3.01e-02    2.52e-02    1.8e-04
 167000      4.23e-01    5.77e-01      1.85e-03    7.08e-03      3.11e-02    4.24e-02    1.8e-04
 168000      3.82e-01    3.71e-01      8.52e-03    7.93e-03      2.80e-02    2.72e-02    1.8e-04
 169000      6.14e-01    3.20e-01      1.90e-03    2.00e-03      4.51e-02    2.35e-02    1.8e-04
 170000      4.07e-01    4.47e-01      4.70e-03    3.71e-03      3.07e-02    3.37e-02    1.7e-04
 171000      3.84e-01    3.59e-01      4.18e-03    4.96e-03      2.89e-02    2.71e-02    1.7e-04
 172000      4.24e-01    2.90e-01      1.13e-02    2.57e-03      3.19e-02    2.19e-02    1.7e-04
 173000      3.28e-01    3.87e-01      4.56e-03    1.10e-02      2.47e-02    2.91e-02    1.7e-04
 174000      4.45e-01    5.99e-01      3.76e-03    6.04e-03      3.36e-02    4.52e-02    1.7e-04
 175000      4.31e-01    6.35e-01      7.62e-03    8.59e-03      3.33e-02    4.91e-02    1.7e-04
 176000      4.46e-01    3.36e-01      1.24e-02    1.59e-03      3.44e-02    2.60e-02    1.7e-04
 177000      3.47e-01    4.00e-01      2.34e-03    1.69e-03      2.68e-02    3.09e-02    1.7e-04
 178000      6.73e-01    2.94e-01      3.74e-03    2.78e-03      5.21e-02    2.27e-02    1.7e-04
 179000      4.85e-01    3.11e-01      6.46e-03    6.56e-03      3.75e-02    2.41e-02    1.7e-04
 180000      4.41e-01    5.05e-01      1.93e-03    8.31e-03      3.50e-02    4.00e-02    1.6e-04
 181000      4.30e-01    3.80e-01      4.52e-03    5.13e-03      3.41e-02    3.02e-02    1.6e-04
 182000      4.02e-01    3.92e-01      4.16e-03    9.26e-03      3.19e-02    3.11e-02    1.6e-04
 183000      4.77e-01    4.41e-01      6.00e-03    6.48e-03      3.79e-02    3.49e-02    1.6e-04
 184000      2.77e-01    5.53e-01      5.98e-03    4.11e-03      2.19e-02    4.39e-02    1.6e-04
 185000      3.80e-01    4.54e-01      3.59e-03    2.82e-03      3.09e-02    3.70e-02    1.5e-04
 186000      3.47e-01    2.79e-01      8.44e-03    2.06e-03      2.82e-02    2.27e-02    1.5e-04
 187000      3.45e-01    3.10e-01      4.33e-03    7.30e-03      2.81e-02    2.52e-02    1.5e-04
 188000      2.92e-01    2.86e-01      6.13e-03    6.66e-03      2.37e-02    2.32e-02    1.5e-04
